sample,year,egg,sex,processing_latency,part,percent.cells,HH,DNA.conc,DNA.quantity,female.id,probability.of.parentage,probability.of.parentage.idexcl,colony.mother.correct,colony.mother.correct.idexcl,colony.father.match.social,colony.father.match.idexcl,hh.stage,percentage.cells,sep/gunk,zero.amplification,number.amplified,percent.amplfied,mismatched.microsats,percent.mismatched
E19.001-EC,2019,E19.001,NA,9,EC,5,1,0.13,12.9,1,0.71,0.1021,1,0,0,0,NA,5,SEP,FALSE,18,45,0,0
E19.001-PVL,2019,E19.001,NA,9,PVL,5,1,0.13,13,1,0.71,0.1021,1,0,0,0,NA,5,SEP,TRUE,0,0,0,0
E19.002-EC,2019,E19.002,M,NA,EC,5,1,0.162,16.2,1,0.71,0.8929,1,1,1,1,NA,5,SEP,FALSE,24,60,0,0
E19.002-PVL,2019,E19.002,NA,NA,PVL,5,1,0,0,1,0.71,0.8929,1,1,1,1,NA,5,SEP,TRUE,0,0,0,0
E19.003-PVL,2019,E19.003,M,11,PVL,10,1,5.39,539,2,0.98,0.9477,0,0,0,0,NA,10,GUNK,FALSE,40,100,6,33.33
E19.004-PVL,2019,E19.004,F,11,PVL,10,1,3.31,331,3,0.88,0.9449,1,0,1,1,NA,10,GUNK,FALSE,40,100,3,16.67
E19.004.EC-PVL+EC,2019,E19.004.EC,F,NA,PVL+EC,NA,1,3.24,324,3,0.88,0.9449,1,0,0,0,NA,10,GUNK,FALSE,40,100,5,27.78
E19.005-EC,2019,E19.005,NA,12,EC,10,1,41.5,4150,4,NA,NA,NA,NA,NA,NA,NA,10,GUNK,TRUE,0,0,0,0
E19.006-EC,2019,E19.006,M,12,EC,100,2,58,5800,5,0.85,0.1021,1,0,0,0,NA,100,GUNK,FALSE,24,60,0,0
E19.007-EC,2019,E19.007,M,12,EC,NA,2,42.63,4263,5,0.85,0.1021,1,0,0,0,NA,100,GUNK,FALSE,38,95,3,16.67
E19.008-EC,2019,E19.008,F,12,EC,100,2,57,5700,5,0.96,0.1021,0,0,1,1,NA,100,GUNK,FALSE,36,90,7,38.89
E19.009-PVL,2019,E19.009,M,8,PVL,10,1,2.4,240,6,0.07,0.8266,0,0,1,1,NA,10,GUNK,FALSE,36,90,7,38.89
E19.010-PVL,2019,E19.010,F,8,PVL,10,1,4.73,473,6,0.07,0.8266,0,0,1,1,NA,10,GUNK,FALSE,40,100,8,44.44
E19.011-EC,2019,E19.011,F,9,EC,100,2,0.384,38.4,7,0.96,0.1021,0,0,0,0,NA,100,GUNK,FALSE,38,95,6,33.33
E19.011-PVL,2019,E19.011,NA,9,PVL,100,2,0,0,7,0.96,0.1021,0,0,0,0,NA,100,GUNK,TRUE,0,0,6,33.33
E19.012-PVL,2019,E19.012,F,10,PVL,10,1,2.5,250,6,0.07,0.8266,1,0,0,0,NA,10,GUNK,FALSE,40,100,4,22.22
E19.014-PVL+EC,2019,E19.014,F,6,PVL+EC,10,1,6.2,620,8,1,1,1,1,0,0,NA,10,GUNK,FALSE,40,100,0,0
E19.015-PVL+EC,2019,E19.015,NA,NA,PVL+EC,10,1,4.22,422,1,NA,NA,NA,NA,NA,NA,NA,10,SEP,TRUE,0,0,0,0
E19.017-PVL,2019,E19.017,F,NA,PVL,10,1,16.2,1620,1,0.96,0.1021,0,0,0,0,NA,10,SEP,FALSE,40,100,9,50
E19.018-PVL+EC,2019,E19.018,F,NA,PVL+EC,10,1,116,11600,1,0.71,0.1021,1,0,0,0,NA,10,SEP,FALSE,28,70,6,33.33
E19.019-PVL+EC,2019,E19.019,M,12,PVL+EC,10,1,103,10300,NA,0.96,0.1021,0,0,1,1,NA,10,GUNK,FALSE,36,90,0,0
E19.020-EC,2019,E19.020,F,2,EC,100,2,5.26,526,10,0.96,0.1021,1,0,0,0,NA,100,GUNK,FALSE,40,100,0,0
E19.022-PVL,2019,E19.022,M,5,PVL,10,1,1.52,152,11,0.71,0.1021,1,0,0,0,NA,10,SEP,FALSE,40,100,1,5.56
E19.024-PVL,2019,E19.024,NA,5,PVL,5,1,0.15,14.6,12,NA,NA,NA,NA,NA,NA,NA,5,SEP,TRUE,0,0,0,0
E19.025-PVL,2019,E19.025,NA,5,PVL,5,1,0.17,17.4,12,NA,NA,NA,NA,NA,NA,NA,5,SEP,TRUE,0,0,0,0
E19.026-EC,2019,E19.026,M,2,EC,10,1,4.52,452,13,0.96,0.1021,1,1,0,0,NA,10,GUNK,FALSE,40,100,0,0
E19.027-EC,2019,E19.027,NA,19,EC,100,2,46.6,4660,12,0.07,0.1021,1,0,0,0,NA,100,GUNK,FALSE,16,40,0,0
E19.028-EC,2019,E19.028,M,19,EC,10,1,4.33,433,14,1,0.9925,1,1,1,1,NA,10,GUNK,FALSE,40,100,0,0
E19.029-EC,2019,E19.029,F,14,EC,100,2,26.6,2660,15,1,1,1,1,1,1,NA,100,GUNK,FALSE,38,95,0,0
E19.031-EC,2019,E19.031,F,7,EC,100,2,16.2,1620,16,1,0.9918,1,1,0,0,NA,100,GUNK,FALSE,40,100,0,0
E19.032-PVL+EC,2019,E19.032,F,5,PVL+EC,100,2,113,11300,6,0.07,0.8266,1,0,0,0,NA,100,GUNK,FALSE,38,95,5,27.78
E19.033-PVL+EC,2019,E19.033,M,3,PVL+EC,100,2,51,5100,5,0.85,0.1021,1,0,0,0,NA,100,GUNK,FALSE,40,100,0,0
