microsat,percent,length,fails
Nci79A02,15.17241379,273,22
Z037b-1,15.17241379,229,22
Nci89A10,16.55172414,238,24
Nci65H05,17.93103448,233,28
Nci85H02,17.93103448,202,26
Nci72C08,18.96551724,167,28
Nci60D06,19.31034483,152,28
Nci87F04,19.31034483,204,28
Nci70A04,20,285,29
Dpu16,21.72413793,358,32
Nci64H10,22.06896552,270,32
Nci58E10,22.75862069,239,33
Nci75D04,22.75862069,308,32
Nci86A01,22.75862069,263,32
Z002-1,26.20689655,94,38
Nci66G01,26.89655172,135,39
Nci83D12b,28.27586207,301,41
Tgu-Gga,28.27586207,250,41
Nci78H09,28.96551724,187,42
BMC04,31.03448276,292,45
